City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current description
222,Morondava,MG,-20.2833,44.2833,80.28,71,0,12.41,clear sky
223,Vaasa,FI,63.096,21.6158,27.95,93,100,8.05,overcast clouds
224,Zelenyy Bor,RU,53.6667,91.6667,17.98,77,92,2.71,overcast clouds
225,Chapleau,CA,47.8405,-83.4034,17.69,73,75,4.61,broken clouds
226,Brae,GB,60.3964,-1.353,46.4,74,98,30.13,overcast clouds
227,Uvat,RU,59.1433,68.8953,3.47,93,18,10.09,few clouds
228,Ketchikan,US,55.3422,-131.6461,28.87,93,0,4.61,clear sky
229,Callaguip,PH,18.0714,120.4867,79.27,74,76,4.97,broken clouds
230,San Quintin,MX,30.4833,-115.95,62.98,46,0,4.52,clear sky
231,Lovozero,RU,68.005,35.0117,29.48,80,97,2.39,overcast clouds
232,Whitehorse,CA,60.7161,-135.0538,8.82,84,75,10.36,light snow
233,Ambulu,ID,-8.345,113.6058,75.63,84,100,2.66,light rain
234,La Romana,DO,18.4273,-68.9728,86.36,62,40,13.8,scattered clouds
235,Lebu,CL,-37.6167,-73.65,61.77,81,25,12.93,scattered clouds
236,Kodinsk,RU,58.6881,99.1844,-3.32,97,95,3.0,overcast clouds
237,Arandis,NA,-22.4167,14.9667,73.96,29,96,7.67,overcast clouds
238,Liwale,TZ,-9.7667,37.9333,77.38,58,87,6.67,overcast clouds
239,Lima,PE,-12.0432,-77.0282,66.45,68,75,8.05,broken clouds
240,Buesaco,CO,1.3902,-77.1598,68.25,78,20,5.75,few clouds
241,Batagay-Alyta,RU,67.8006,130.4114,-15.56,96,100,4.23,overcast clouds
242,Flinders,AU,-34.5833,150.8552,55.18,83,18,5.01,few clouds
243,Mianyang,CN,31.4593,104.7542,56.39,72,32,3.06,scattered clouds
244,Ylivieska,FI,64.0833,24.55,20.88,91,75,3.71,broken clouds
245,Ahuimanu,US,21.4447,-157.8378,75.36,90,40,3.44,scattered clouds
246,Asha,RU,54.9973,57.2722,25.56,97,100,3.44,light snow
247,Pahrump,US,36.2083,-115.9839,54.32,20,100,1.97,overcast clouds
248,San Patricio,US,28.017,-97.5169,59.09,63,100,13.04,overcast clouds
249,Port Elizabeth,ZA,-33.918,25.5701,66.49,77,75,12.66,broken clouds
250,Jinji,CN,23.2281,110.8261,77.74,65,100,2.86,overcast clouds
251,Severnyy,RU,50.677,36.5532,26.64,86,75,2.24,broken clouds
252,Sovetskiy,RU,61.3614,63.5842,11.46,88,63,9.24,broken clouds
253,Padilla,CO,3.2204,-76.3139,82.89,70,100,2.39,overcast clouds
254,Te Anau,NZ,-45.4167,167.7167,53.74,95,98,1.05,overcast clouds
255,Tuatapere,NZ,-46.1333,167.6833,53.85,94,100,3.42,overcast clouds
256,Birin,NP,26.8865,88.0718,50.52,78,1,5.28,clear sky
257,Aksehir,TR,38.3575,31.4164,52.34,75,100,7.74,overcast clouds
258,Paamiut,GL,61.994,-49.6678,23.18,82,100,6.26,overcast clouds
259,Magrath,CA,49.4167,-112.8686,24.94,62,4,9.22,clear sky
260,Kenai,US,60.5544,-151.2583,27.14,87,0,8.05,clear sky
261,Mayumba,GA,-3.432,10.6554,77.41,86,70,7.67,broken clouds
262,Katsuura,JP,35.1333,140.3,58.1,79,23,9.06,few clouds
263,Banon,ES,40.8382,-1.1909,49.26,82,0,5.75,clear sky
264,Henties Bay,NA,-22.116,14.2845,61.57,81,91,7.38,overcast clouds
265,Lysychovo,UA,48.4968,23.2899,42.91,98,100,4.61,moderate rain
266,Beloha,MG,-25.1667,45.05,71.76,73,3,8.41,clear sky
267,Bobrovka,RU,54.047,61.7455,20.7,95,100,8.08,light snow
268,Suez,EG,29.9737,32.5263,67.59,59,0,7.85,clear sky
269,Mbengwi,CM,6.0167,10.0,67.77,68,82,2.59,broken clouds
270,Batemans Bay,AU,-35.7167,150.1833,49.48,91,60,3.53,broken clouds
271,Ganzhou,CN,28.8184,115.4327,59.54,92,98,2.51,overcast clouds
272,Bandarbeyla,SO,9.4942,50.8122,79.99,79,2,17.81,light rain
273,Kalaleh,IR,37.3807,55.4916,60.4,67,0,4.61,clear sky
274,Erenhot,CN,43.6475,111.9767,37.35,28,27,27.63,scattered clouds
275,Marana,US,32.4367,-111.2254,68.97,29,71,6.69,broken clouds
276,Cabedelo,BR,-6.9811,-34.8339,86.67,66,76,11.45,broken clouds
277,Pangnirtung,CA,66.1451,-65.7125,-0.89,78,80,6.62,broken clouds
278,Iskateley,RU,67.6803,53.1512,8.85,96,37,2.68,scattered clouds
279,Moerai,PF,-22.4333,-151.3333,71.87,69,90,16.08,overcast clouds
280,Paita,PE,-5.0892,-81.1144,72.68,69,55,14.61,broken clouds
281,Muana,BR,-1.5283,-49.2167,89.37,55,92,5.01,overcast clouds
282,Kindu,CD,-2.95,25.95,68.22,100,96,1.05,overcast clouds
